common_name,scientific_name,region,file_type,habitat_distribution,entry_number,subcategory
Common Ostrich,Struthio camelus,Africa,Geographic,Sub-Saharan Africa,1,Family Struthionidae - Ostriches
Somali Ostrich,Struthio molybdophanes,Africa,Geographic,Horn of Africa,2,Family Struthionidae - Ostriches
Fulvous Whistling-Duck,Dendrocygna bicolor,Africa,Geographic,Widespread,3,"Family Anatidae - Ducks, Geese & Swans"
White-faced Whistling-Duck,Dendrocygna viduata,Africa,Geographic,Widespread,4,"Family Anatidae - Ducks, Geese & Swans"
White-backed Duck,Thalassornis leuconotus,Africa,Geographic,Sub-Saharan Africa,5,"Family Anatidae - Ducks, Geese & Swans"
Blue-winged Goose,Cyanochen cyanoptera,Africa,Geographic,Ethiopian highlands,6,"Family Anatidae - Ducks, Geese & Swans"
Egyptian Goose,Alopochen aegyptiaca,Africa,Geographic,Widespread,7,"Family Anatidae - Ducks, Geese & Swans"
Common Shelduck,Tadorna tadorna,Africa,Geographic,North Africa,8,"Family Anatidae - Ducks, Geese & Swans"
South African Shelduck,Tadorna cana,Africa,Geographic,Southern Africa,9,"Family Anatidae - Ducks, Geese & Swans"
Paradise Shelduck,Tadorna variegata,Africa,Geographic,Vagrant,10,"Family Anatidae - Ducks, Geese & Swans"
Spur-winged Goose,Plectropterus gambensis,Africa,Geographic,Sub-Saharan Africa,11,"Family Anatidae - Ducks, Geese & Swans"
Muscovy Duck,Cairina moschata,Africa,Geographic,Introduced,12,"Family Anatidae - Ducks, Geese & Swans"
Knob-billed Duck,Sarkidiornis melanotos,Africa,Geographic,Sub-Saharan Africa,13,"Family Anatidae - Ducks, Geese & Swans"
African Pygmy-goose,Nettapus auritus,Africa,Geographic,Sub-Saharan Africa,14,"Family Anatidae - Ducks, Geese & Swans"
Mallard,Anas platyrhynchos,Africa,Geographic,North Africa,15,"Family Anatidae - Ducks, Geese & Swans"
Yellow-billed Duck,Anas undulata,Africa,Geographic,Sub-Saharan Africa,16,"Family Anatidae - Ducks, Geese & Swans"
African Black Duck,Anas sparsa,Africa,Geographic,Eastern/Southern Africa,17,"Family Anatidae - Ducks, Geese & Swans"
Cape Teal,Anas capensis,Africa,Geographic,Southern Africa,18,"Family Anatidae - Ducks, Geese & Swans"
Red-billed Teal,Anas erythrorhyncha,Africa,Geographic,Sub-Saharan Africa,19,"Family Anatidae - Ducks, Geese & Swans"
Hottentot Teal,Anas hottentota,Africa,Geographic,Sub-Saharan Africa,20,"Family Anatidae - Ducks, Geese & Swans"
Red-billed Pintail,Anas punctata,Africa,Geographic,Madagascar,21,"Family Anatidae - Ducks, Geese & Swans"
